year,oslo_temp,global_temp,global_mov_avg,oslo_mov_avg
1750,3.57,8.72,,
1751,3.06,7.98,,
1752,-2.24,5.78,,
1753,2.15,8.39,,
1754,2.18,8.47,,
1755,1.8,8.36,,
1756,2.31,8.85,8.078571429,1.832857143
1757,2.52,9.02,8.121428571,1.682857143
1758,1.45,6.74,7.944285714,1.452857143
1759,2.64,7.99,8.26,2.15
1760,1.75,7.19,8.088571429,2.092857143
1761,2.97,8.77,8.131428571,2.205714286
1762,1.9,8.61,8.167142857,2.22
1763,1.91,7.5,7.974285714,2.162857143
1764,2.13,8.4,7.885714286,2.107142857
1765,1.45,8.25,8.101428571,2.107142857
1766,2.93,8.41,8.161428571,2.148571429
1767,1.66,8.22,8.308571429,2.135714286
1768,1.73,6.78,8.024285714,1.958571429
1769,2.03,7.69,7.892857143,1.977142857
1770,1.8,7.69,7.92,1.961428571
1771,1.5,7.85,7.841428571,1.871428571
1772,1.73,8.19,7.832857143,1.911428571
1773,2.99,8.22,7.805714286,1.92
1774,1.42,8.77,7.884285714,1.885714286
1775,3.38,9.18,8.227142857,2.121428571
1776,2.27,8.3,8.314285714,2.155714286
1777,1.85,8.26,8.395714286,2.162857143
1778,2.36,8.54,8.494285714,2.285714286
1779,3.98,8.98,8.607142857,2.607142857
1780,2.2,9.43,8.78,2.494285714
1781,3.04,8.1,8.684285714,2.725714286
1782,1.32,7.9,8.501428571,2.431428571
1783,2.85,7.68,8.412857143,2.514285714
1784,0.61,7.86,8.355714286,2.337142857
1785,1.33,7.36,8.187142857,2.19
1786,1.08,8.26,8.084285714,1.775714286
1787,2.3,8.03,7.884285714,1.79
1788,1.83,8.45,7.934285714,1.617142857
1789,2.7,8.33,7.995714286,1.814285714
1790,2.72,7.98,8.038571429,1.795714286
1791,2.89,8.23,8.091428571,2.121428571
1792,2.51,8.09,8.195714286,2.29
1793,2.49,8.23,8.191428571,2.491428571
1794,3.28,8.53,8.262857143,2.631428571
1795,1.55,8.35,8.248571429,2.591428571
1796,2.7,8.27,8.24,2.591428571
1797,3.39,8.51,8.315714286,2.687142857
1798,3.33,8.67,8.378571429,2.75
1799,0.92,8.51,8.438571429,2.522857143
1800,1.72,8.48,8.474285714,2.412857143
1801,2.35,8.59,8.482857143,2.28
1802,2.02,8.58,8.515714286,2.347142857
1803,1.62,8.5,8.548571429,2.192857143
1804,1.75,8.84,8.595714286,1.958571429
1805,1.06,8.56,8.58,1.634285714
1806,2.13,8.43,8.568571429,1.807142857
1807,1.86,8.28,8.54,1.827142857
1808,1.92,7.63,8.402857143,1.765714286
1809,1.57,7.08,8.188571429,1.701428571
1810,1.59,6.92,7.962857143,1.697142857
1811,2.99,6.86,7.68,1.874285714
1812,0.9,7.05,7.464285714,1.851428571
1813,2.46,7.74,7.365714286,1.898571429
1814,1.11,7.59,7.267142857,1.791428571
1815,2.21,7.24,7.211428571,1.832857143
1816,1.36,6.94,7.191428571,1.802857143
1817,2.09,6.98,7.2,1.874285714
1818,2.72,7.83,7.338571429,1.835714286
1819,2.67,7.37,7.384285714,2.088571429
1820,1.61,7.62,7.367142857,1.967142857
1821,2.31,8.09,7.438571429,2.138571429
1822,3.74,8.19,7.574285714,2.357142857
1823,2.07,7.72,7.685714286,2.458571429
1824,2.95,8.55,7.91,2.581428571
1825,3.09,8.39,7.99,2.634285714
1826,3.65,8.36,8.131428571,2.774285714
1827,2,8.81,8.301428571,2.83
1828,2.59,8.17,8.312857143,2.87
1829,1.01,7.94,8.277142857,2.48
1830,1.9,8.52,8.391428571,2.455714286
1831,2.67,7.64,8.261428571,2.415714286
1832,2.79,7.45,8.127142857,2.372857143
1833,2.49,8.01,8.077142857,2.207142857
